Date,Open,High,Low,Close,Volume,,
17-10-1997,6.698,6.7392,6.4808,6.6047,90790002,,
20-10-1997,6.6047,6.7285,6.4808,6.7285,60944400,,
21-10-1997,6.8012,6.9762,6.7599,6.9663,76772403,,
22-10-1997,6.925,7.0381,6.8523,6.9349,63242802,,
23-10-1997,6.7186,6.9143,6.698,6.7285,79596000,,
24-10-1997,6.7904,6.8317,6.5122,6.6253,101171196,,
27-10-1997,6.5221,6.6047,5.9962,6.0168,122002803,,
28-10-1997,5.6866,6.6773,5.6247,6.6047,175880403,,
29-10-1997,6.584,6.7392,6.4395,6.6459,117471996,,
30-10-1997,6.3884,6.7285,6.3776,6.6047,150912396,,
31-10-1997,6.6872,6.7904,6.5634,6.7698,110457603,,
03-11-1997,6.873,7.0075,6.8218,6.9968,80046000,,
04-11-1997,6.9762,7.1207,6.873,6.8936,126705600,,
05-11-1997,7.0381,7.152,6.9968,7.0587,121094802,,
06-11-1997,7.0794,7.0901,6.9349,6.9919,52224003,,
07-11-1997,6.7904,6.9762,6.7599,6.8986,75589596,,
10-11-1997,6.8936,6.9555,6.7491,6.7541,51723603,,
11-11-1997,6.7491,6.7599,6.6253,6.6567,59340402,,
12-11-1997,6.5584,6.5948,6.3157,6.3157,84016800,,
13-11-1997,6.3983,6.5741,6.3058,6.5683,98708400,,
14-11-1997,6.584,6.7392,6.4965,6.7186,83467602,,
17-11-1997,6.8523,6.9398,6.7599,6.8573,54178803,,
18-11-1997,6.8523,6.9349,6.7805,6.7954,52761600,,
19-11-1997,6.7491,6.8837,6.7285,6.8655,44895600,,
20-11-1997,6.8837,7.0695,6.873,7.0587,66247596,,
21-11-1997,7.1107,7.1207,6.9762,7.0282,60798402,,
24-11-1997,6.9811,7.0488,6.8317,6.873,44204400,,
25-11-1997,6.9043,7.0018,6.8523,6.9605,54542403,,
26-11-1997,6.9762,7.0587,6.9762,7.0224,26013600,,
28-11-1997,7.0075,7.1669,6.9712,7.1207,18334800,,
01-12-1997,7.2032,7.5029,7.1727,7.4666,95917203,,
02-12-1997,7.4616,7.4823,7.0901,7.1413,142086402,,
03-12-1997,7.0901,7.1776,6.9143,7.1751,154312002,,
04-12-1997,7.2189,7.2238,7.043,7.1314,61453602,,
05-12-1997,7.1363,7.3791,7.0587,7.3791,84069603,,
08-12-1997,7.3733,7.4302,7.327,7.4096,41416002,,
09-12-1997,7.3378,7.3477,7.152,7.2189,78193602,,
10-12-1997,7.1107,7.1207,6.8523,7.0488,106484400,,
11-12-1997,6.8837,6.9349,6.5741,6.8267,140383602,,
12-12-1997,6.8523,6.8631,6.2744,6.3207,240625602,,
15-12-1997,6.3884,6.4651,5.9029,6.3983,250779996,,
16-12-1997,6.4709,6.7079,6.4395,6.6154,132025203,,
17-12-1997,6.9039,7.0587,6.6947,6.7107,68278668,,
18-12-1997,6.6724,6.6872,6.3702,6.6327,67429200,,
19-12-1997,6.4395,6.6872,6.1993,6.6179,101483202,,
22-12-1997,6.6872,6.8581,6.5485,6.7652,62484000,,
23-12-1997,6.8111,6.8185,6.3467,6.3628,50670402,,
24-12-1997,6.5176,6.5943,6.3467,6.3851,32981202,,
26-12-1997,6.4395,6.5943,6.4086,6.5869,20894802,,
29-12-1997,6.7417,6.951,6.7182,6.9349,55410000,,
30-12-1997,6.9733,7.0352,6.8804,6.982,46771200,,
31-12-1997,6.982,7.0897,6.842,6.9039,45040800,,
02-01-1998,7.0129,7.2296,6.8891,7.19,42853602,,
05-01-1998,7.1987,7.3225,7.0278,7.1751,70754802,,
06-01-1998,7.0897,7.2296,6.951,7.0823,54234000,,
07-01-1998,7.0439,7.0439,6.8036,6.873,74174802,,
08-01-1998,6.8036,7.0278,6.6253,6.951,75943602,,
09-01-1998,6.8581,6.951,6.6724,6.7182,83994000,,
12-01-1998,6.4395,6.9039,6.3776,6.8965,78526002,,
13-01-1998,6.9349,6.9894,6.8272,6.9349,62359200,,
14-01-1998,7.0439,7.0748,6.92,7.0587,52188402,,
15-01-1998,7.0278,7.2135,7.0042,7.1132,49991202,,
16-01-1998,7.2135,7.2754,7.1281,7.1677,48571602,,
20-01-1998,7.221,7.3683,7.1987,7.3683,56923200,,
21-01-1998,7.2754,7.3683,7.0278,7.3535,52260402,,
22-01-1998,7.2519,7.3299,7.1281,7.1516,43438800,,
23-01-1998,7.221,7.2606,6.9968,7.1442,46768002,,
26-01-1998,7.1751,7.1826,6.9114,7.0129,39954402,,
27-01-1998,7.0129,7.3535,6.92,7.3374,67517202,,
28-01-1998,7.4154,7.725,7.3919,7.6631,104662002,,
29-01-1998,7.6779,8.0185,7.6631,7.8946,125108802,,
30-01-1998,7.964,7.9727,7.7708,7.8092,51928800,,
02-02-1998,8.042,8.1274,7.8637,7.9182,84200802,,
03-02-1998,7.9182,8.0259,7.694,7.8018,88447200,,
04-02-1998,7.8637,8.1423,7.8488,7.9949,125086002,,
05-02-1998,8.1423,8.1968,7.9727,7.9727,75684000,,
06-02-1998,7.9566,8.1733,7.8637,8.1658,47048802,,
09-02-1998,8.2203,8.2203,7.8488,7.9256,55943202,,
10-02-1998,7.9566,8.0655,7.8488,8.0185,58441200,,
11-02-1998,8.0569,8.0655,7.933,8.0346,32716800,,
12-02-1998,7.964,8.1584,7.9417,8.0804,45181602,,
13-02-1998,8.042,8.1497,7.9875,8.0346,30223200,,
17-02-1998,8.1584,8.1733,7.9417,8.042,41662800,,
18-02-1998,8.0036,8.1274,7.9875,8.1114,44554800,,
19-02-1998,8.1423,8.2042,8.0965,8.1039,43772400,,
